순번,순위,전일대비_순위증감,신규진입여부,movieCd,영화제목,개봉일,매출액,당일매출비율,전일대비_매출증감,전일대비_매출액_증감비율,누적매출액,당일관객수,전일대비_관객증감,전일대비_관객증감비율,누적관객수,당일스크린수,showCnt,targetDt
10,10,1,OLD,20257100,산양들,2026-07-29,9096050,0.2,1267050,16.2,24172050,1118,230,25.9,2827,39,51,2026-07-30
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,5796824950,79.4,1141922400,24.5,17385316140,526330,84486,19.1,1660410,2275,9373,2026-07-31
2,2,0,OLD,20233219,호프,2026-07-15,835668800,11.4,171061180,25.7,41674678780,81496,13873,20.5,3856238,1005,2980,2026-07-31
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,190221930,2.6,2406670,1.3,6723923590,20042,-568,-2.8,668739,726,1110,2026-07-31
4,4,0,OLD,20259946,모아나,2026-07-08,112605600,1.5,1662250,1.5,10378556280,11630,-252,-2.1,974457,480,705,2026-07-31
5,5,0,OLD,20259781,토이 스토리 5,2026-06-17,102040720,1.4,7724900,8.2,29736093460,10380,413,4.1,2890716,395,472,2026-07-31
6,6,1,OLD,20262902,다윗,2026-07-10,59424000,0.8,23293200,64.5,2383973920,6272,2436,63.5,244637,186,207,2026-07-31
7,7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,45668700,0.6,6420780,16.4,122675920,4351,438,11.2,12350,61,94,2026-07-31
8,8,1,OLD,20242402,눈동자,2026-06-24,25475350,0.3,-1282250,-4.8,15808107000,2375,-305,-11.4,1532389,200,246,2026-07-31
9,9,-1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,17893270,0.2,-11534950,-39.2,350063140,1943,-1501,-43.6,39220,173,178,2026-07-31
10,10,0,NEW,20265254,투모로우바이투게더 브이알 콘서트 : 엔드리스 라이드,2026-07-31,52001000,0.7,52001000,100.0,52001000,1469,1469,100.0,1469,2,14,2026-07-31
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,9697312810,80.9,3900487860,67.3,27082628950,901580,375250,71.3,2561990,2409,10152,2026-08-01
2,2,0,OLD,20233219,호프,2026-07-15,1403300900,11.7,567632100,67.9,43077979680,136417,54921,67.4,3992655,957,2724,2026-08-01
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,211440510,1.8,21218580,11.2,6935364100,22173,2131,10.6,690912,715,1091,2026-08-01
4,4,0,OLD,20259946,모아나,2026-07-08,124133850,1.0,11528250,10.2,10502690130,12729,1099,9.4,987186,465,626,2026-08-01
5,5,0,NEW,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,127985600,1.1,127985600,100.0,181687600,10681,10681,100.0,16189,76,91,2026-08-01
